distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,-30.000,0.000,0.500,-23.523490,0,0.999417,1.000000,1.000000,0.999865,0.999886,0.500989,1.000000,0.999930,0.000000,0.000000,0.999879,1.000000,0.204812,0.928136,0.688579,0.000000,0.208730,0.000000,0.999962,0.999939,0.000000,0.000000,0.828097,0.477023,0.125926,0.999928,0.830164,0.739553,0.883634,0.722249,0.564186,0.632029,0.495661,0.044770,0.362279,0.608162,0.167166,0.762818,0.939749,0.650224,0.878801,0.660919,0.583357,0.301935,0.257298,0.264306,0.308442,0.160297,0.259094,0.790056,0.680439,0.445289,0.513560,0.377347,0.469738,0.256739,0.000000,0.652479,0.237490,0.327123
500,-25.000,0.000,0.500,-22.085895,0,0.999698,1.000000,1.000000,0.999997,0.678487,0.999849,1.000000,0.999964,0.000000,0.000000,0.999989,0.999971,0.034829,0.999983,0.999969,0.630135,0.646899,0.000000,0.778118,0.999731,0.902600,0.043340,0.604061,0.837819,0.129890,1.000000,0.870252,0.675210,0.796120,0.999975,0.587708,0.534957,0.588664,0.320907,0.233479,0.515055,0.344683,0.687265,0.750787,0.578364,0.684372,0.552622,0.461365,0.367662,0.000000,0.339492,0.333312,0.241411,0.191370,0.772160,0.540506,0.514420,0.507913,0.444676,0.401616,0.231598,0.000000,0.717210,0.180673,0.423876
500,-20.000,0.000,0.500,-23.477527,0,0.832466,0.974849,1.000000,0.999976,0.911194,1.000000,1.000000,1.000000,0.000000,0.000000,0.999999,0.970650,0.000000,1.000000,0.743432,0.709580,0.606475,0.000000,0.577983,0.921462,0.684685,0.255809,0.459886,0.999999,0.080101,1.000000,0.829413,0.633897,0.812878,0.925913,0.558999,0.503479,0.549668,0.296396,0.236770,0.367343,0.327708,0.686006,0.720329,0.582812,0.621555,0.511040,0.445629,0.360990,0.000000,0.342556,0.312829,0.278279,0.208382,0.956927,0.556108,0.629483,0.599149,0.436445,0.450898,0.217409,0.000000,0.637957,0.108450,0.469510
500,-15.000,0.000,0.500,-22.030266,0,0.999261,0.999706,0.041329,1.000000,0.999871,0.999956,1.000000,1.000000,0.996260,0.000000,1.000000,0.754399,0.000000,1.000000,0.550810,0.432864,0.494943,0.280619,0.493102,0.650988,0.577393,0.274354,0.197268,0.811005,0.148849,0.999759,0.847003,0.673578,0.761588,0.826394,0.594877,0.522982,0.548954,0.354041,0.301366,0.286783,0.450718,0.650327,0.661214,0.572674,0.562372,0.419327,0.463857,0.396902,0.000000,0.355976,0.354388,0.402436,0.343114,0.980438,0.526913,0.713941,0.606803,0.420711,0.329440,0.065412,0.000000,0.671177,0.031328,0.686528
500,-10.000,0.000,0.500,-21.223714,0,0.000000,0.898136,0.000000,1.000000,0.912581,0.999928,1.000000,0.999983,0.273484,0.000000,0.347666,0.702668,0.000000,1.000000,0.700686,0.500851,0.724440,0.022364,0.637309,0.412248,0.419873,0.399606,0.244150,0.791738,0.118443,0.999846,0.885992,0.641864,0.730410,0.593262,0.492095,0.418957,0.608794,0.307172,0.249057,0.363770,0.500359,0.842727,0.791267,0.761035,0.728632,0.486306,0.530304,0.519819,0.057011,0.305547,0.348243,0.477040,0.375489,0.800726,0.613342,0.400696,0.495642,0.128293,0.302711,0.036222,0.000000,0.703510,0.000000,0.333264
500,-5.000,0.000,0.500,-20.986089,0,0.000000,0.999998,0.007320,0.736143,0.402930,0.000000,0.709237,0.999999,0.000000,0.000000,0.000000,0.942986,0.138131,0.999722,0.687875,0.590728,0.792753,0.000131,0.656975,0.393965,0.511986,0.472474,0.245373,0.541250,0.255218,0.999995,0.810506,0.597144,0.641504,0.470641,0.581558,0.487090,0.634070,0.312790,0.261724,0.400452,0.481061,0.692645,0.792991,0.865520,0.707968,0.383469,0.580628,0.501936,0.223173,0.292564,0.256727,0.511042,0.277454,0.999581,0.934554,0.064005,0.497301,0.000000,0.141578,0.000000,0.000000,0.801854,0.000000,0.092592
500,0.000,0.000,0.500,-20.743906,1,0.000000,1.000000,0.077631,0.614760,0.426565,0.000000,0.219660,0.740356,0.000000,0.062736,0.000000,0.869245,0.000000,1.000000,0.689556,0.676219,0.949738,0.000000,0.730010,0.433479,0.580300,0.539449,0.262538,0.616590,1.000000,1.000000,0.911176,0.732733,0.759859,0.345765,0.630159,0.561190,0.765254,0.402216,0.208415,0.388912,0.099361,0.934451,0.983262,0.775172,0.757849,0.427405,0.478049,0.423853,0.306639,0.575182,0.292787,0.604704,0.444081,0.998372,0.999754,0.287292,0.677319,0.000000,0.436049,0.245429,0.000000,1.000000,0.000000,0.000000
500,5.000,0.000,0.500,-21.972211,0,0.000000,0.999888,0.524039,0.708009,0.418186,0.000000,0.000000,0.288237,0.000000,0.098379,0.000000,0.631337,0.144301,0.999940,0.614122,0.712765,0.889521,0.041722,0.662751,0.518187,0.541251,0.418446,0.253336,0.340721,0.230958,0.999995,0.766566,0.564954,0.752120,0.390108,0.574971,0.472391,0.688374,0.397849,0.185126,0.213997,0.412631,0.872495,0.999456,0.715681,0.545238,0.255728,0.493901,0.471183,0.370885,0.668057,0.306815,0.481139,0.177531,0.999924,0.999923,0.263881,0.861314,0.000000,0.999095,0.999868,0.000000,0.999965,0.000000,0.000000
500,10.000,0.000,0.500,-22.145389,0,0.000000,0.999973,0.499321,0.565411,0.408550,0.000000,0.000000,0.223933,0.000000,0.406668,0.000000,0.574558,0.295817,0.999652,0.706212,0.744864,0.844911,0.049095,0.649125,0.506477,0.697224,0.354333,0.323880,0.393278,0.190755,1.000000,0.803882,0.666409,0.865377,0.307010,0.536961,0.447117,0.709611,0.354720,0.235617,0.295271,0.444485,0.783709,0.999815,0.375222,0.295369,0.163277,0.603268,0.599970,0.498840,0.841840,0.241851,0.347299,0.602300,0.849213,0.612199,0.999776,0.999096,0.362138,0.995378,0.999943,0.000000,0.468700,0.427129,0.000000
500,15.000,0.000,0.500,-22.829395,0,0.125661,0.999994,0.552191,0.607650,0.616132,0.000000,0.034720,0.226450,0.178023,0.557309,0.234893,0.719446,0.253750,0.809449,0.695707,0.634560,0.682194,0.012314,0.550044,0.377805,0.702010,0.333591,0.274122,0.437990,0.167729,0.999986,0.942902,0.773881,0.862137,0.280192,0.546927,0.489351,0.761261,0.284724,0.264113,0.364915,0.425431,0.789607,0.999981,0.282879,0.323339,0.271156,0.639660,0.586425,0.674755,0.998076,0.284931,0.178339,0.999996,0.703075,0.000000,0.999974,0.999993,1.000000,0.999989,0.999996,0.382084,0.101408,0.999992,0.000000
