distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,-30.000,0.000,0.250,-24.739682,0,0.961303,1.000000,0.860843,0.727027,0.971030,0.497538,0.999991,0.999975,0.068548,0.189009,0.834467,0.682591,0.000000,0.269064,0.516503,0.009999,0.000000,0.000000,0.757129,0.878857,0.000000,0.000000,0.322120,0.143463,0.109376,0.556965,0.476059,0.356890,0.459213,0.327322,0.371506,0.291860,0.220167,0.000000,0.173273,0.275816,0.078766,0.325986,0.418436,0.278499,0.379929,0.238839,0.275254,0.148078,0.139997,0.129077,0.125235,0.053123,0.121300,0.343005,0.257438,0.151951,0.226240,0.199213,0.174726,0.106532,0.000000,0.283040,0.109463,0.134574
500,-25.000,0.000,0.250,-22.596942,0,0.386501,0.889239,0.999976,1.000000,0.701580,0.630784,1.000000,0.999408,0.000000,0.000000,0.999998,0.746874,0.025430,0.691084,0.783214,0.338364,0.289716,0.000000,0.362538,0.480874,0.452291,0.026978,0.277747,0.394579,0.067926,0.536646,0.406280,0.352544,0.417852,0.514268,0.272945,0.252875,0.269843,0.132254,0.124938,0.197732,0.145191,0.270431,0.325218,0.255316,0.271268,0.224568,0.178082,0.153779,0.000000,0.174938,0.140473,0.080738,0.090776,0.397133,0.237740,0.251897,0.250404,0.249396,0.178668,0.099337,0.000000,0.316571,0.108107,0.226197
500,-20.000,0.000,0.250,-24.324758,0,0.158024,0.823735,1.000000,1.000000,1.000000,0.999057,1.000000,1.000000,0.000000,0.000000,0.999986,0.482145,0.007788,0.662421,0.430355,0.361904,0.409950,0.000000,0.313489,0.460616,0.250553,0.074661,0.231516,0.511119,0.051518,0.458325,0.388537,0.309605,0.393207,0.433830,0.266841,0.252832,0.286064,0.142465,0.112063,0.144342,0.127584,0.271522,0.320345,0.251951,0.251999,0.232682,0.177584,0.156962,0.000000,0.169879,0.133098,0.113360,0.108972,0.502460,0.287660,0.313871,0.313108,0.244313,0.216059,0.120120,0.000000,0.297344,0.103232,0.218387
500,-15.000,0.000,0.250,-22.955306,0,0.546842,0.922127,0.294915,1.000000,0.999981,0.873305,1.000000,0.999984,0.462576,0.000000,0.534181,0.423813,0.000000,0.523194,0.243689,0.163282,0.255726,0.283700,0.297660,0.303448,0.220070,0.124299,0.066723,0.389997,0.064813,0.482775,0.442319,0.340683,0.373087,0.385638,0.300563,0.280016,0.232036,0.175218,0.155239,0.161769,0.194923,0.264149,0.312705,0.273797,0.230247,0.199737,0.187982,0.184810,0.000000,0.154488,0.158879,0.185750,0.198909,0.551523,0.306925,0.385162,0.356285,0.221081,0.186196,0.051721,0.000000,0.276605,0.047165,0.331124
500,-10.000,0.000,0.250,-21.674604,0,0.011385,0.809412,0.000000,0.903836,0.999991,0.640711,0.999988,0.908386,0.000000,0.000000,0.225246,0.456142,0.000000,0.477000,0.306664,0.144386,0.286853,0.005803,0.328401,0.180180,0.177540,0.186316,0.077146,0.406678,0.054849,0.528042,0.496735,0.361709,0.388568,0.303806,0.279727,0.247653,0.321131,0.137939,0.126525,0.193441,0.210640,0.363540,0.395411,0.369562,0.325755,0.201391,0.253129,0.260011,0.021727,0.154281,0.172668,0.215996,0.251194,0.503674,0.330995,0.238432,0.309319,0.063543,0.154698,0.009593,0.000000,0.284240,0.000000,0.201352
500,-5.000,0.000,0.250,-21.142578,1,0.000000,0.908316,0.000001,0.588900,0.362695,0.000000,0.524346,0.999997,0.000000,0.000000,0.023664,0.482931,0.035273,0.849084,0.601205,0.482153,0.742328,0.066798,0.651941,0.279142,0.454487,0.348863,0.231440,0.556651,0.159718,0.839499,0.738286,0.512376,0.577014,0.347882,0.453327,0.356591,0.561036,0.286296,0.179107,0.307236,0.400628,0.734509,0.753364,0.761946,0.639421,0.328046,0.452669,0.485569,0.215488,0.259301,0.248185,0.419919,0.285451,0.799024,0.715722,0.043032,0.372700,0.000000,0.278827,0.012762,0.000000,0.822666,0.000000,0.157419
500,0.000,0.000,0.250,-20.848808,1,0.000000,1.000000,0.000000,0.492233,0.179407,0.000000,0.055572,0.846116,0.000000,0.025288,0.000000,0.692501,0.000000,1.000000,0.708445,0.693433,0.986244,0.000000,0.754014,0.409765,0.549140,0.476523,0.275719,0.602536,1.000000,1.000000,0.905394,0.742964,0.788108,0.345424,0.637422,0.529309,0.827612,0.457247,0.242428,0.426063,0.067639,0.883768,1.000000,0.827835,0.762718,0.329183,0.450107,0.450294,0.375966,0.544305,0.280369,0.531032,0.440972,0.998838,1.000000,0.000000,0.588837,0.000000,0.391206,0.183472,0.000000,0.968169,0.000000,0.000000
500,5.000,0.000,0.250,-22.049090,1,0.000000,1.000000,0.521652,0.529986,0.358650,0.000000,0.000000,0.147638,0.000000,0.033493,0.000000,0.385286,0.090174,0.620995,0.343963,0.441201,0.556630,0.195736,0.439860,0.337311,0.380054,0.291092,0.170635,0.208154,0.158309,0.696342,0.522850,0.396507,0.506073,0.174952,0.401486,0.308119,0.322668,0.278943,0.137268,0.127193,0.221535,0.483354,0.602781,0.397226,0.308032,0.122103,0.268338,0.312046,0.343216,0.394097,0.164834,0.305115,0.149903,1.000000,0.999506,0.247210,0.465578,0.000000,0.902507,0.946145,0.000000,0.914249,0.126550,0.000000
500,10.000,0.000,0.250,-22.284575,0,0.000000,0.638257,0.346572,0.296294,0.232050,0.000000,0.000000,0.123446,0.000000,0.157560,0.000000,0.290230,0.150839,0.438783,0.326082,0.343390,0.397505,0.062800,0.322616,0.248788,0.342368,0.176572,0.156803,0.189474,0.094935,0.561539,0.425518,0.388047,0.454231,0.156571,0.320311,0.247862,0.286279,0.178862,0.119590,0.145482,0.172323,0.357666,0.412302,0.148360,0.119777,0.110327,0.238214,0.265453,0.214903,0.405334,0.086077,0.161787,0.401907,0.510793,0.617524,1.000000,0.927208,0.000000,0.716055,1.000000,0.000000,0.269186,0.211620,0.000000
500,15.000,0.000,0.250,-23.282636,0,0.077059,0.526032,0.331475,0.394672,0.356697,0.000000,0.062618,0.149693,0.155347,0.252564,0.144183,0.353798,0.109622,0.325912,0.289626,0.265043,0.297726,0.000000,0.222015,0.141154,0.310611,0.162056,0.118902,0.190189,0.084019,0.507190,0.432875,0.351158,0.413143,0.075674,0.301901,0.245642,0.352929,0.151601,0.136313,0.197584,0.163580,0.381734,0.552778,0.146056,0.132230,0.099647,0.276315,0.365504,0.575233,0.428060,0.119504,0.083196,0.999938,0.800105,0.390529,0.999997,0.999998,0.999924,1.000000,0.999990,0.750683,0.280969,0.593068,0.002645
