distance_mm,az_deg,el_deg,gain_floor,score,success,amp_00,amp_01,amp_02,amp_03,amp_04,amp_05,amp_06,amp_07,amp_08,amp_09,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59
500,-30.000,0.000,0.150,-15.205141,1,1.000000,1.000000,0.998543,1.000000,1.000000,1.000000,1.000000,0.999996,0.000028,0.595074,1.000000,1.000000,0.909906,1.000000,0.894167,0.622776,0.999752,0.000000,0.686743,1.000000,0.274683,0.000000,0.994905,0.163966,0.462158,1.000000,1.000000,1.000000,1.000000,0.835732,0.973829,1.000000,0.967847,0.387531,0.789078,0.933157,0.389184,1.000000,1.000000,0.794334,1.000000,0.999982,0.991917,0.561286,0.333042,0.523111,0.453037,0.505616,0.571554,1.000000,0.999944,0.855063,1.000000,0.733761,0.699569,0.263378,0.000000,0.998203,0.393113,0.735557
500,-25.000,0.000,0.150,-15.868276,1,1.000000,1.000000,0.999757,1.000000,1.000000,0.999690,0.999981,1.000000,0.000000,0.000000,0.999908,1.000000,0.891215,1.000000,0.999899,1.000000,0.999999,0.000000,0.598760,1.000000,1.000000,0.125240,1.000000,1.000000,0.331855,1.000000,1.000000,1.000000,1.000000,0.999528,0.939054,1.000000,0.960793,0.555939,0.520690,0.754104,0.524390,1.000000,1.000000,0.802958,1.000000,0.999924,0.831133,0.604013,0.148887,0.735736,0.561250,0.638593,0.450932,1.000000,1.000000,1.000000,1.000000,0.758326,0.745815,0.303826,0.000000,1.000000,0.351502,0.816703
500,-20.000,0.000,0.150,-16.619520,1,0.999997,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.999936,0.999999,0.798154,1.000000,0.999993,1.000000,1.000000,0.000000,0.490748,1.000000,1.000000,0.505386,1.000000,1.000000,0.236458,1.000000,1.000000,1.000000,1.000000,1.000000,0.970716,0.990767,0.982676,0.656013,0.459820,0.776204,0.657365,1.000000,1.000000,0.867148,1.000000,1.000000,0.803045,0.647673,0.000000,0.999318,0.679210,0.751624,0.520204,1.000000,1.000000,1.000000,1.000000,0.718215,0.819548,0.294462,0.000000,0.999997,0.260167,0.967625
500,-15.000,0.000,0.150,-16.159650,1,1.000000,1.000000,0.000000,0.999999,1.000000,1.000000,0.999821,1.000000,0.999975,0.000000,1.000000,0.999951,0.553906,1.000000,1.000000,1.000000,1.000000,0.000000,0.581370,1.000000,1.000000,0.753225,1.000000,1.000000,0.159997,0.999996,1.000000,0.999980,0.999912,0.923136,0.824346,0.790124,0.913171,0.864197,0.326575,0.743776,0.857081,1.000000,1.000000,0.983817,0.999854,1.000000,0.977288,0.730115,0.000000,1.000000,0.825138,1.000000,0.592039,1.000000,1.000000,1.000000,0.999996,0.406826,0.461963,0.071584,0.000000,1.000000,0.000000,0.934001
500,-10.000,0.000,0.150,-15.178640,1,0.490546,0.999362,0.000000,1.000000,0.930561,0.999832,0.999590,1.000000,0.999999,0.000000,0.994954,0.999336,0.506602,1.000000,1.000000,0.999267,1.000000,0.000000,0.887298,0.826332,1.000000,0.987185,0.552885,0.999985,0.270345,0.999999,0.999999,0.998427,0.999988,0.746066,0.941750,0.727698,0.913262,0.890812,0.421708,0.999979,0.999999,1.000000,1.000000,1.000000,0.999999,0.999881,0.991352,0.837572,0.000000,1.000000,0.875798,1.000000,0.701588,0.999998,0.999824,0.883982,0.999999,0.000000,0.389916,0.000000,0.000000,1.000000,0.000000,0.999915
500,-5.000,0.000,0.150,-14.799140,1,0.000000,1.000000,0.793300,0.999822,0.576945,0.000000,0.072312,0.999514,0.999221,0.000000,0.000000,0.474607,0.528916,1.000000,0.999996,0.975933,1.000000,0.000000,1.000000,0.746235,1.000000,0.999975,0.480320,0.999999,0.463785,0.999996,0.999998,0.985532,0.999995,0.625880,0.977713,0.797813,0.945489,0.956457,0.421601,0.999978,0.999962,0.999999,0.999998,0.999694,1.000000,0.999960,0.913233,0.999098,0.000000,0.996571,0.855148,0.999992,0.395305,1.000000,0.999970,0.094213,1.000000,0.000000,0.633094,0.000000,0.000000,1.000000,0.000000,0.466774
500,0.000,0.000,0.150,-14.666499,1,0.000000,1.000000,0.829348,0.999997,1.000000,0.000000,0.000000,0.999997,0.000000,0.278563,0.000000,0.934933,0.383649,0.999991,1.000000,0.999575,1.000000,0.000000,0.999998,0.704426,1.000000,0.999994,0.435736,0.964347,0.555576,0.999995,1.000000,0.888899,0.999999,0.512452,0.788870,0.622027,0.925383,0.977879,0.474287,0.905041,1.000000,1.000000,0.999997,1.000000,0.999996,1.000000,0.927149,0.950596,0.000000,1.000000,0.823537,0.999999,0.113840,0.999883,1.000000,0.183589,0.999999,0.000000,0.910666,0.029097,0.000000,1.000000,0.000000,0.021064
500,5.000,0.000,0.150,-14.590208,1,0.000000,0.999993,0.995165,0.845286,1.000000,0.000000,0.000000,1.000000,0.000000,0.837153,0.000000,0.991153,0.454558,1.000000,1.000000,1.000000,1.000000,0.000000,0.999816,0.705822,0.999893,0.999595,0.620543,1.000000,0.571360,1.000000,1.000000,0.993785,1.000000,0.402958,0.860522,0.641565,1.000000,0.999603,0.357476,0.807235,1.000000,0.999674,1.000000,0.847585,1.000000,0.998569,0.845161,0.752679,0.000000,0.999885,0.784969,0.999912,0.563043,0.999948,1.000000,0.437886,1.000000,0.000000,0.999232,0.990017,0.000000,0.999897,0.000000,0.000000
500,10.000,0.000,0.150,-14.808815,1,0.000000,1.000000,0.999981,1.000000,0.999995,0.000000,0.000000,0.690842,0.000000,1.000000,0.000000,1.000000,0.590742,1.000000,0.999995,1.000000,1.000000,0.000000,0.999943,0.720583,1.000000,0.999987,0.727595,1.000000,0.512784,1.000000,0.999999,1.000000,1.000000,0.528790,0.764147,0.663387,1.000000,1.000000,0.456610,0.706665,0.999948,0.999998,1.000000,0.674066,1.000000,0.866100,0.851307,0.969313,0.000000,1.000000,0.634032,0.999999,1.000000,0.999920,0.210151,1.000000,0.999977,1.000000,1.000000,1.000000,0.000000,1.000000,0.029793,0.000000
500,15.000,0.000,0.150,-15.510160,1,0.325537,1.000000,1.000000,0.956697,1.000000,0.000000,0.000000,0.478789,0.184698,0.885375,0.327297,0.999975,0.335999,0.999999,1.000000,1.000000,1.000000,0.111756,1.000000,0.696149,1.000000,0.999994,0.677894,0.939559,0.716905,0.999990,1.000000,1.000000,1.000000,0.628141,0.741059,0.790407,1.000000,0.817204,0.570984,0.740829,0.778858,0.999870,0.999964,0.666920,0.999999,0.921034,0.999853,0.585168,0.000000,1.000000,0.556777,0.818611,0.999837,0.436698,0.000000,0.999953,0.999981,1.000000,1.000000,0.999815,0.816979,1.000000,1.000000,1.000000
