global_id,unit_id,element_id,unit_angle_deg,x_m,y_m,z_m,nx,ny,nz
0,0,0,-45.000,-0.124765127,0.000000000,-0.124765127,0.707106781,0.000000000,0.707106781
1,0,1,-45.000,-0.114667642,0.010958000,-0.134862611,0.707106781,0.000000000,0.707106781
2,0,2,-45.000,-0.132513603,0.014280000,-0.117016650,0.707106781,0.000000000,0.707106781
3,0,3,-45.000,-0.134862611,-0.010958000,-0.114667642,0.707106781,0.000000000,0.707106781
4,0,4,-45.000,-0.117016650,-0.014280000,-0.132513603,0.707106781,0.000000000,0.707106781
5,0,5,-45.000,-0.099947800,0.008011000,-0.149582453,0.707106781,0.000000000,0.707106781
6,0,6,-45.000,-0.113720119,0.032435000,-0.135810135,0.707106781,0.000000000,0.707106781
7,0,7,-45.000,-0.135810135,0.032435000,-0.113720119,0.707106781,0.000000000,0.707106781
8,0,8,-45.000,-0.149582453,0.008011000,-0.099947800,0.707106781,0.000000000,0.707106781
9,0,9,-45.000,-0.144667354,-0.022446000,-0.104862899,0.707106781,0.000000000,0.707106781
10,0,10,-45.000,-0.124765127,-0.036000000,-0.124765127,0.707106781,0.000000000,0.707106781
11,0,11,-45.000,-0.104862899,-0.022446000,-0.144667354,0.707106781,0.000000000,0.707106781
12,1,0,-22.500,-0.067522400,0.000000000,-0.163013494,0.382683432,0.000000000,0.923879533
13,1,1,-22.500,-0.054329400,0.010958000,-0.168478213,0.382683432,0.000000000,0.923879533
14,1,2,-22.500,-0.077646272,0.014280000,-0.158820049,0.382683432,0.000000000,0.923879533
15,1,3,-22.500,-0.080715400,-0.010958000,-0.157548774,0.382683432,0.000000000,0.923879533
16,1,4,-22.500,-0.057398528,-0.014280000,-0.167206939,0.382683432,0.000000000,0.923879533
17,1,5,-22.500,-0.035097000,0.008011000,-0.176444534,0.382683432,0.000000000,0.923879533
18,1,6,-22.500,-0.053091402,0.032435000,-0.168991009,0.382683432,0.000000000,0.923879533
19,1,7,-22.500,-0.081953398,0.032435000,-0.157035979,0.382683432,0.000000000,0.923879533
20,1,8,-22.500,-0.099947800,0.008011000,-0.149582453,0.382683432,0.000000000,0.923879533
21,1,9,-22.500,-0.093525913,-0.022446000,-0.152242486,0.382683432,0.000000000,0.923879533
22,1,10,-22.500,-0.067522400,-0.036000000,-0.163013494,0.382683432,0.000000000,0.923879533
23,1,11,-22.500,-0.041518887,-0.022446000,-0.173784502,0.382683432,0.000000000,0.923879533
24,2,0,0.000,0.000000000,0.000000000,-0.176444534,-0.000000000,0.000000000,1.000000000
25,2,1,0.000,0.014280000,0.010958000,-0.176444534,-0.000000000,0.000000000,1.000000000
26,2,2,0.000,-0.010958000,0.014280000,-0.176444534,-0.000000000,0.000000000,1.000000000
27,2,3,0.000,-0.014280000,-0.010958000,-0.176444534,-0.000000000,0.000000000,1.000000000
28,2,4,0.000,0.010958000,-0.014280000,-0.176444534,-0.000000000,0.000000000,1.000000000
29,2,5,0.000,0.035097000,0.008011000,-0.176444534,-0.000000000,0.000000000,1.000000000
30,2,6,0.000,0.015620000,0.032435000,-0.176444534,-0.000000000,0.000000000,1.000000000
31,2,7,0.000,-0.015620000,0.032435000,-0.176444534,-0.000000000,0.000000000,1.000000000
32,2,8,0.000,-0.035097000,0.008011000,-0.176444534,-0.000000000,0.000000000,1.000000000
33,2,9,0.000,-0.028146000,-0.022446000,-0.176444534,-0.000000000,0.000000000,1.000000000
34,2,10,0.000,0.000000000,-0.036000000,-0.176444534,-0.000000000,0.000000000,1.000000000
35,2,11,0.000,0.028146000,-0.022446000,-0.176444534,-0.000000000,0.000000000,1.000000000
36,3,0,22.500,0.067522400,0.000000000,-0.163013494,-0.382683432,0.000000000,0.923879533
37,3,1,22.500,0.080715400,0.010958000,-0.157548774,-0.382683432,0.000000000,0.923879533
38,3,2,22.500,0.057398528,0.014280000,-0.167206939,-0.382683432,0.000000000,0.923879533
39,3,3,22.500,0.054329400,-0.010958000,-0.168478213,-0.382683432,0.000000000,0.923879533
40,3,4,22.500,0.077646272,-0.014280000,-0.158820049,-0.382683432,0.000000000,0.923879533
41,3,5,22.500,0.099947800,0.008011000,-0.149582453,-0.382683432,0.000000000,0.923879533
42,3,6,22.500,0.081953398,0.032435000,-0.157035979,-0.382683432,0.000000000,0.923879533
43,3,7,22.500,0.053091402,0.032435000,-0.168991009,-0.382683432,0.000000000,0.923879533
44,3,8,22.500,0.035097000,0.008011000,-0.176444534,-0.382683432,0.000000000,0.923879533
45,3,9,22.500,0.041518887,-0.022446000,-0.173784502,-0.382683432,0.000000000,0.923879533
46,3,10,22.500,0.067522400,-0.036000000,-0.163013494,-0.382683432,0.000000000,0.923879533
47,3,11,22.500,0.093525913,-0.022446000,-0.152242486,-0.382683432,0.000000000,0.923879533
48,4,0,45.000,0.124765127,0.000000000,-0.124765127,-0.707106781,0.000000000,0.707106781
49,4,1,45.000,0.134862611,0.010958000,-0.114667642,-0.707106781,0.000000000,0.707106781
50,4,2,45.000,0.117016650,0.014280000,-0.132513603,-0.707106781,0.000000000,0.707106781
51,4,3,45.000,0.114667642,-0.010958000,-0.134862611,-0.707106781,0.000000000,0.707106781
52,4,4,45.000,0.132513603,-0.014280000,-0.117016650,-0.707106781,0.000000000,0.707106781
53,4,5,45.000,0.149582453,0.008011000,-0.099947800,-0.707106781,0.000000000,0.707106781
54,4,6,45.000,0.135810135,0.032435000,-0.113720119,-0.707106781,0.000000000,0.707106781
55,4,7,45.000,0.113720119,0.032435000,-0.135810135,-0.707106781,0.000000000,0.707106781
56,4,8,45.000,0.099947800,0.008011000,-0.149582453,-0.707106781,0.000000000,0.707106781
57,4,9,45.000,0.104862899,-0.022446000,-0.144667354,-0.707106781,0.000000000,0.707106781
58,4,10,45.000,0.124765127,-0.036000000,-0.124765127,-0.707106781,0.000000000,0.707106781
59,4,11,45.000,0.144667354,-0.022446000,-0.104862899,-0.707106781,0.000000000,0.707106781
