distance_m,az_deg,el_deg,mode,max_sidelobe_db,dbc,dbc_improvement_db,gain_loss_db,dbc_gain_margin_db,p99_sidelobe_db,p99_dbc,p99_dbc_improvement_db,p99_dbc_gain_margin_db,p95_sidelobe_db,target_gain_delta_db,mean_amp,min_amp,max_amp
0.5,-29.999999999999996,0.0,uniform,-11.256452,11.256452,0.000000,0.000000,0.000000,-13.048827,13.048827,0.000000,0.000000,-15.340809,0.000000,1.000000,1.000000,1.000000
0.5,-29.999999999999996,0.0,unit_cosine,-9.789519,9.789519,-1.466934,6.396012,-7.862946,-12.447499,12.447499,-0.601327,-6.997339,-15.681092,-6.396012,0.677604,0.206939,0.985518
0.5,-29.999999999999996,0.0,unit_cosine_hamming,-5.461908,5.461908,-5.794544,16.576129,-22.370673,-5.832558,5.832558,-7.216268,-23.792398,-9.458159,-16.576129,0.210060,0.016555,0.985518
0.5,-29.999999999999996,0.0,optimized_dbc_margin,-13.825159,13.825159,2.568706,2.585499,-0.016792,-15.166195,15.166195,2.117369,-0.468130,-17.537277,-2.585499,0.754859,0.000000,1.000000
0.5,-29.999999999999996,0.0,optimized_table,-13.012277,13.012277,1.755824,6.020612,-4.264787,-14.639290,14.639290,1.590463,-4.430149,-17.801822,-6.020612,0.546474,0.000000,1.000000
0.5,-29.999999999999996,0.0,optimized_aggressive,-11.712967,11.712967,0.456515,12.041199,-11.584684,-14.506146,14.506146,1.457319,-10.583879,-17.692905,-12.041199,0.333443,0.000000,1.000000
0.5,-25.0,0.0,uniform,-11.667996,11.667996,0.000000,0.000000,0.000000,-12.795832,12.795832,0.000000,0.000000,-15.155124,0.000000,1.000000,1.000000,1.000000
0.5,-25.0,0.0,unit_cosine,-10.186396,10.186396,-1.481600,4.899175,-6.380775,-11.676572,11.676572,-1.119260,-6.018434,-15.716721,-4.899175,0.706905,0.249431,0.998383
0.5,-25.0,0.0,unit_cosine_hamming,-5.520479,5.520479,-6.147518,15.048392,-21.195910,-5.828726,5.828726,-6.967106,-22.015498,-9.595875,-15.048392,0.219143,0.019954,0.998383
0.5,-25.0,0.0,optimized_dbc_margin,-13.106087,13.106087,1.438090,2.356921,-0.918831,-15.278108,15.278108,2.482276,0.125355,-17.320520,-2.356921,0.782507,0.000000,1.000000
0.5,-25.0,0.0,optimized_table,-13.896502,13.896502,2.228506,6.020602,-3.792096,-14.563034,14.563034,1.767203,-4.253399,-17.977090,-6.020602,0.577917,0.000000,1.000000
0.5,-25.0,0.0,optimized_aggressive,-13.036741,13.036741,1.368745,12.041205,-10.672460,-14.701472,14.701472,1.905640,-10.135565,-18.628255,-12.041205,0.344158,0.000000,1.000000
0.5,-20.0,0.0,uniform,-11.176398,11.176398,0.000000,0.000000,0.000000,-12.889643,12.889643,0.000000,0.000000,-15.160673,0.000000,1.000000,1.000000,1.000000
0.5,-20.0,0.0,unit_cosine,-10.355588,10.355588,-0.820811,3.618960,-4.439771,-12.034972,12.034972,-0.854672,-4.473632,-15.595304,-3.618960,0.732199,0.301815,0.998383
0.5,-20.0,0.0,unit_cosine_hamming,-5.594563,5.594563,-5.581836,13.764280,-19.346115,-6.238634,6.238634,-6.651009,-20.415289,-9.439725,-13.764280,0.226984,0.024145,0.998383
0.5,-20.0,0.0,optimized_dbc_margin,-12.881229,12.881229,1.704831,1.972188,-0.267357,-15.568548,15.568548,2.678904,0.706716,-16.985202,-1.972188,0.814208,0.000000,1.000000
0.5,-20.0,0.0,optimized_table,-13.544101,13.544101,2.367703,6.020601,-3.652899,-15.103146,15.103146,2.213503,-3.807099,-17.873188,-6.020601,0.565063,0.000000,1.000000
0.5,-20.0,0.0,optimized_aggressive,-14.061356,14.061356,2.884957,12.041199,-9.156242,-15.213851,15.213851,2.324207,-9.716992,-18.337956,-12.041199,0.339157,0.000000,1.000000
0.5,-14.999999999999998,0.0,uniform,-10.792313,10.792313,0.000000,0.000000,0.000000,-11.948552,11.948552,0.000000,0.000000,-14.755781,0.000000,1.000000,1.000000,1.000000
0.5,-14.999999999999998,0.0,unit_cosine,-10.450471,10.450471,-0.341842,2.569919,-2.911761,-11.895070,11.895070,-0.053482,-2.623401,-15.060019,-2.569919,0.752715,0.362500,0.985518
0.5,-14.999999999999998,0.0,unit_cosine_hamming,-5.518115,5.518115,-5.274198,12.712202,-17.986400,-6.348157,6.348157,-5.600395,-18.312597,-9.029704,-12.712202,0.233344,0.029000,0.985518
0.5,-14.999999999999998,0.0,optimized_dbc_margin,-12.439655,12.439655,1.647341,1.948121,-0.300779,-15.563325,15.563325,3.614773,1.666652,-16.589082,-1.948121,0.787886,0.000000,1.000000
0.5,-14.999999999999998,0.0,optimized_table,-13.147016,13.147016,2.354702,6.020599,-3.665896,-15.026211,15.026211,3.077659,-2.942940,-17.349113,-6.020599,0.551438,0.000000,1.000000
0.5,-14.999999999999998,0.0,optimized_aggressive,-13.432478,13.432478,2.640164,12.041201,-9.401037,-15.223302,15.223302,3.274750,-8.766451,-17.822875,-12.041201,0.326397,0.000000,1.000000
0.5,-10.0,0.0,uniform,-10.426554,10.426554,0.000000,0.000000,0.000000,-11.287537,11.287537,0.000000,0.000000,-14.501592,0.000000,1.000000,1.000000,1.000000
0.5,-10.0,0.0,unit_cosine,-10.512876,10.512876,0.086321,1.743566,-1.657245,-11.719868,11.719868,0.432331,-1.311235,-14.852483,-1.743566,0.767833,0.429641,0.974369
0.5,-10.0,0.0,unit_cosine_hamming,-5.475927,5.475927,-4.950628,11.905223,-16.855851,-6.466367,6.466367,-4.821170,-16.726393,-8.590552,-11.905223,0.238031,0.034371,0.974369
0.5,-10.0,0.0,optimized_dbc_margin,-11.944940,11.944940,1.518385,1.751896,-0.233511,-14.933495,14.933495,3.645958,1.894061,-16.122558,-1.751896,0.779393,0.000000,1.000000
0.5,-10.0,0.0,optimized_table,-12.752853,12.752853,2.326299,6.020600,-3.694301,-15.180390,15.180390,3.892853,-2.127748,-16.955126,-6.020600,0.498926,0.000000,1.000000
0.5,-10.0,0.0,optimized_aggressive,-12.906540,12.906540,2.479985,12.041198,-9.561213,-14.881565,14.881565,3.594028,-8.447170,-16.945400,-12.041198,0.287722,0.000000,0.999991
0.5,-5.0,0.0,uniform,-10.526567,10.526567,0.000000,0.000000,0.000000,-11.264766,11.264766,0.000000,0.000000,-14.139295,0.000000,1.000000,1.000000,1.000000
0.5,-5.0,0.0,unit_cosine,-10.821385,10.821385,0.294818,1.220223,-0.925405,-11.597954,11.597954,0.333188,-0.887035,-14.347571,-1.220223,0.777091,0.501200,0.993543
0.5,-5.0,0.0,unit_cosine_hamming,-5.488940,5.488940,-5.037626,11.365549,-16.403175,-6.881474,6.881474,-4.383292,-15.748840,-8.764734,-11.365549,0.240901,0.040096,0.993543
0.5,-5.0,0.0,optimized_dbc_margin,-12.076619,12.076619,1.550053,1.760299,-0.210246,-14.685730,14.685730,3.420964,1.660666,-16.126525,-1.760299,0.702906,0.000000,1.000000
0.5,-5.0,0.0,optimized_table,-12.850634,12.850634,2.324067,6.020601,-3.696533,-15.928386,15.928386,4.663620,-1.356981,-16.996275,-6.020601,0.456355,0.000000,0.999999
0.5,-5.0,0.0,optimized_aggressive,-12.716311,12.716311,2.189744,7.266692,-5.076948,-15.776503,15.776503,4.511737,-2.754955,-16.995910,-7.266692,0.394921,0.000000,0.999997
0.5,0.0,0.0,uniform,-10.614869,10.614869,0.000000,0.000000,0.000000,-11.470204,11.470204,0.000000,0.000000,-14.330678,0.000000,1.000000,1.000000,1.000000
0.5,0.0,0.0,unit_cosine,-10.893799,10.893799,0.278930,1.051341,-0.772411,-11.706227,11.706227,0.236023,-0.815318,-14.259535,-1.051341,0.780208,0.575000,1.000000
0.5,0.0,0.0,unit_cosine_hamming,-5.487152,5.487152,-5.127717,11.196482,-16.324199,-7.055458,7.055458,-4.414746,-15.611228,-8.615306,-11.196482,0.241867,0.046000,1.000000
0.5,0.0,0.0,optimized_dbc_margin,-12.775775,12.775775,2.160906,2.053371,0.107535,-14.789972,14.789972,3.319768,1.266397,-16.206909,-2.053371,0.685673,0.000000,1.000000
0.5,0.0,0.0,optimized_table,-12.703083,12.703083,2.088214,5.019687,-2.931474,-15.697766,15.697766,4.227562,-0.792126,-16.586201,-5.019687,0.499025,0.000000,1.000000
0.5,0.0,0.0,optimized_aggressive,-12.609843,12.609843,1.994974,5.084540,-3.089566,-15.759550,15.759550,4.289346,-0.795193,-16.629612,-5.084540,0.478727,0.000000,1.000000
0.5,5.0,0.0,uniform,-9.926503,9.926503,0.000000,0.000000,0.000000,-11.627672,11.627672,0.000000,0.000000,-14.447268,0.000000,1.000000,1.000000,1.000000
0.5,5.0,0.0,unit_cosine,-10.950673,10.950673,1.024169,1.220223,-0.196054,-11.672769,11.672769,0.045098,-1.175126,-14.319557,-1.220223,0.777091,0.501200,0.993543
0.5,5.0,0.0,unit_cosine_hamming,-5.491561,5.491561,-4.434942,11.365549,-15.800491,-6.882971,6.882971,-4.744701,-16.110250,-8.765753,-11.365549,0.240901,0.040096,0.993543
